HPfrb1ch02-0001	vitre          	UNE VITRE DISPARAÎT
HPfrb1ch02-0369	panique        	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
HPfrb1ch02-0370	visiteur       	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
HPfrb1ch02-0371	précipiter     	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
HPfrb1ch02-0372	sortie         	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
HPfrb1ch02-0373	terreur        	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
HPfrb1ch02-0374	sifflant       	Au moment où le serpent glissa rapidement devant lui, Harry eut l’impression d’entendre une voix basse et sifflante dire : – Et maintenant, direction, le Brésil !
HPfrb1ch02-0375	gardien        	Le gardien du vivarium était en état de choc.
HPfrb1ch02-0376	choc           	Le gardien du vivarium était en état de choc.
HPfrb1ch02-0377	sucrer         	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
HPfrb1ch02-0378	confondre      	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
HPfrb1ch02-0379	excuse         	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
HPfrb1ch02-0380	balbutier      	balbutiaient d’un air ahuri
HPfrb1ch02-0381	ahuri          	balbutiaient d’un air ahuri
HPfrb1ch02-0382	mâchoire       	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
HPfrb1ch02-0383	mollet         	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
HPfrb1ch02-0384	placer         	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
HPfrb1ch02-0385	arracher       	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
HPfrb1ch02-0386	calmer         	Mais le pire, pour Harry tout au moins, ce fut lorsque Piers, qui s’était un peu calmé, dit :
HPfrb1ch02-0387	rentrer        	L’oncle Vernon attendit que Piers fût rentré chez lui pour s’en prendre à Harry.
HPfrb1ch02-0388	fureur         	Sa fureur était telle qu’il pouvait à peine parler.
HPfrb1ch02-0389	seulement      	Il parvint seulement à dire : – File… placard… pas bouger… rien à manger.
HPfrb1ch02-0390	effondrer      	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
HPfrb1ch02-0391	hâter          	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
HPfrb1ch02-0392	cognac         	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
HPfrb1ch02-0393	allonger       	Beaucoup plus tard, Harry, allongé dans son placard, se désolait de ne pas avoir de montre.
HPfrb1ch02-0394	désoler        	Beaucoup plus tard, Harry, allongé dans son placard, se désolait de ne pas avoir de montre.
HPfrb1ch02-0395	risquer        	Tant qu’ils ne dormaient pas, il ne pouvait pas se risquer dans la cuisine pour aller chercher discrètement quelque chose à manger.
HPfrb1ch02-0396	discrètement   	Tant qu’ils ne dormaient pas, il ne pouvait pas se risquer dans la cuisine pour aller chercher discrètement quelque chose à manger.
HPfrb1ch02-0397	fouiller       	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0398	vision         	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0399	émerger        	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0400	aveugler       	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0401	brûlure        	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0402	douloureux     	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
HPfrb1ch02-0403	origine        	C’était sans doute le choc de l’accident, pensait-il, bien qu’il n’eût aucune idée de l’origine de la lumière verte.
HPfrb1ch02-0404	lointain       	Lorsqu’il était plus jeune, Harry avait souvent rêvé qu’un parent lointain et inconnu vienne le chercher et l’emmène avec lui, mais cela n’était jamais arrivé.
HPfrb1ch02-0405	inconnu        	Lorsqu’il était plus jeune, Harry avait souvent rêvé qu’un parent lointain et inconnu vienne le chercher et l’emmène avec lui, mais cela n’était jamais arrivé.
HPfrb1ch02-0406	simple         	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
HPfrb1ch02-0407	croiser        	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
HPfrb1ch02-0408	dehors         	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
HPfrb1ch02-0409	chapeau        	Un jour, un homme minuscule coiffé d’un chapeau haut de forme violet s’était incliné devant lui pendant qu’il faisait des courses avec Dudley et la tante Pétunia.
HPfrb1ch02-0410	violet         	Un jour, un homme minuscule coiffé d’un chapeau haut de forme violet s’était incliné devant lui pendant qu’il faisait des courses avec Dudley et la tante Pétunia.
HPfrb1ch02-0411	magasin        	Après lui avoir demandé d’un air furieux s’il connaissait cet homme, la tante Pétunia s’était dépêchée de les faire sortir du magasin sans avoir rien acheté.
HPfrb1ch02-0412	bus            	Un autre jour, dans un bus, une vieille femme échevelée, tout habillée de vert, lui avait fait de grands signes de la main.
HPfrb1ch02-0413	échevelé       	Un autre jour, dans un bus, une vieille femme échevelée, tout habillée de vert, lui avait fait de grands signes de la main.
HPfrb1ch02-0414	pourpre        	Récemment encore, un homme chauve dans un long manteau pourpre lui avait serré la main dans la rue, puis était reparti sans dire un mot.
HPfrb1ch02-0415	envie          	Tout le monde savait que la bande de Dudley détestait Harry Potter, avec ses vêtements trop grands et ses lunettes cassées, et personne n’avait envie de déplaire à la bande de Dudley.
HPfrb1ch02-0416	déplaire       	Tout le monde savait que la bande de Dudley détestait Harry Potter, avec ses vêtements trop grands et ses lunettes cassées, et personne n’avait envie de déplaire à la bande de Dudley.
